minute_utc,flow_count,rf_positive_count,n_features_psi_ge_025,max_psi,mean_psi,drift_alarm,status
2026-09-21T13:54:00Z,2810,2810,17,39.17526214267502,22.393112433944786,1,OK
2026-09-21T13:55:00Z,2811,2811,17,39.17561795125652,22.566180733741664,1,OK
2026-09-21T13:56:00Z,2806,2806,17,39.1738376409985,21.787089998661347,1,OK
2026-09-21T13:57:00Z,2811,2811,17,39.17561795125652,21.335545426417458,1,OK
2026-09-21T13:58:00Z,2814,2814,17,38.59250960366198,15.541905210095019,1,OK
2026-09-21T13:59:00Z,2813,2813,17,37.21784333623615,20.480343718859235,1,OK
2026-09-21T14:00:00Z,2812,2812,17,39.17597363328331,22.31857880577294,1,OK
2026-09-21T14:01:00Z,2813,2813,17,39.17632918884537,22.288363056409047,1,OK
2026-09-21T14:02:00Z,2814,2814,17,38.59250960366198,17.16649385507734,1,OK
2026-09-21T14:03:00Z,2799,2799,17,37.273435210145216,15.329377815321058,1,OK
2026-09-21T14:04:00Z,2787,2787,17,37.36728320042354,20.63548817669268,1,OK
2026-09-21T14:05:00Z,2793,2793,17,39.169193946244626,17.442697616839514,1,OK
2026-09-21T14:06:00Z,2811,2811,17,37.37593034214933,15.769423995910156,1,OK
2026-09-21T14:07:00Z,2809,2809,17,37.37521259487328,14.465222318640079,1,OK
2026-09-21T14:08:00Z,2812,2812,17,36.3569743657844,13.673495068884414,1,OK
2026-09-21T14:09:00Z,2813,2813,17,37.27850634672942,14.569901125075226,1,OK
2026-09-21T14:10:00Z,2813,2813,17,37.27850634672942,16.2677329073625,1,OK
2026-09-21T14:11:00Z,2813,2813,17,39.17632918884537,20.994490928140813,1,OK
2026-09-21T14:12:00Z,2814,2814,17,39.17668461803261,21.307636757811927,1,OK
2026-09-21T14:13:00Z,2813,2813,17,39.17632918884537,21.197553370888905,1,OK
2026-09-21T14:14:00Z,2812,2812,17,36.53622380552212,14.740312300747561,1,OK
2026-09-21T14:15:00Z,2812,2812,17,39.17597363328331,20.918659573953803,1,OK
2026-09-21T14:16:00Z,2810,2810,17,38.59108712827515,14.877258755331368,1,OK
2026-09-21T14:17:00Z,2812,2812,17,36.425196224850986,12.865180118290038,1,OK
2026-09-21T14:18:00Z,2812,2812,17,37.17220256959128,15.43549212184452,1,OK
2026-09-21T14:19:00Z,2813,2813,17,37.37664757484968,13.775042346556162,1,OK
2026-09-21T14:20:00Z,2805,2805,17,39.17348119829009,17.070484800668186,1,OK
2026-09-21T14:21:00Z,2766,2766,17,37.35965515017421,20.476873177451665,1,OK
2026-09-21T14:22:00Z,2786,2786,17,39.16668453461917,21.59768135970713,1,OK
2026-09-21T14:23:00Z,2811,2811,17,37.37593034214933,14.745091906812046,1,OK
2026-09-21T14:24:00Z,2810,2810,17,37.27742183536321,20.870327250857603,1,OK
2026-09-21T14:25:00Z,2814,2814,17,39.17668461803261,21.650614724122907,1,OK
2026-09-21T14:26:00Z,2813,2813,17,39.17632918884537,21.789713536206413,1,OK
2026-09-21T14:27:00Z,2812,2812,17,39.17597363328331,21.70913458064085,1,OK
2026-09-21T14:28:00Z,2812,2812,17,36.53622380552212,15.372556856875178,1,OK
2026-09-21T14:29:00Z,2813,2813,17,36.35733854460836,12.780343548718744,1,OK
2026-09-21T14:30:00Z,2811,2811,17,39.17561795125652,17.614272615612112,1,OK
2026-09-21T14:31:00Z,2814,2814,17,37.1729361154894,20.536256838331514,1,OK
2026-09-21T14:32:00Z,2812,2812,17,39.17597363328331,21.692039321558234,1,OK
2026-09-21T14:33:00Z,2814,2814,17,36.425918908432664,13.387858185562962,1,OK
2026-09-21T14:34:00Z,2809,2809,17,39.174906207448686,21.643012273932534,1,OK
2026-09-21T14:35:00Z,2814,2814,17,36.425918908432664,15.484145992631747,1,OK
2026-09-21T14:36:00Z,2809,2809,17,38.5907311930415,16.792802065274152,1,OK
2026-09-21T14:37:00Z,2812,2812,17,39.17597363328331,15.200527166933906,1,OK
2026-09-21T14:38:00Z,2792,2792,17,39.168835844178865,21.95377245279814,1,OK
2026-09-21T14:39:00Z,2786,2786,17,36.255664644725314,16.58204543041838,1,OK
2026-09-21T14:40:00Z,2790,2790,17,39.1681192551063,21.69486369508901,1,OK
2026-09-21T14:41:00Z,2813,2813,17,39.17632918884537,22.01177107060235,1,OK
2026-09-21T14:42:00Z,2813,2813,17,37.21784333623615,14.555211446890244,1,OK
2026-09-21T14:43:00Z,2813,2813,17,37.37664757484968,20.86272517691195,1,OK
2026-09-21T14:44:00Z,2815,2815,17,39.17703992093482,21.815630995332974,1,OK
2026-09-21T14:45:00Z,2814,2814,17,39.17668461803261,21.622058381768102,1,OK
2026-09-21T14:46:00Z,2810,2810,17,39.17526214267502,21.563919568975003,1,OK
2026-09-21T14:47:00Z,2814,2814,17,39.17668461803261,21.708837990694718,1,OK
2026-09-21T14:48:00Z,2813,2813,17,39.17632918884537,21.802534302118694,1,OK
2026-09-21T14:49:00Z,2811,2811,17,39.17561795125652,22.10814698900229,1,OK
2026-09-21T14:50:00Z,2811,2811,17,39.17561795125652,22.234570423810442,1,OK
2026-09-21T14:51:00Z,2809,2809,17,39.174906207448686,17.706946746583718,1,OK
2026-09-21T14:52:00Z,2810,2810,17,37.375571532879405,14.58604940136045,1,OK
2026-09-21T14:53:00Z,2812,2812,17,39.17597363328331,22.308466328926936,1,OK
2026-09-21T14:54:00Z,2815,2815,17,39.17703992093482,22.226631174914548,1,OK
2026-09-21T14:55:00Z,2806,2806,17,39.1738376409985,22.0971887588407,1,OK
2026-09-21T14:56:00Z,2772,2772,17,36.41063188776668,12.962991920967957,1,OK
2026-09-21T14:57:00Z,2784,2784,17,36.415023483154286,12.200647195785661,1,OK
2026-09-21T14:58:00Z,2811,2811,17,36.26495273016186,13.276924558720552,1,OK
2026-09-21T14:59:00Z,2813,2813,17,39.17632918884537,21.72813147656926,1,OK
2026-09-21T15:00:00Z,2812,2812,17,39.17597363328331,19.322926184283574,1,OK
2026-09-21T15:01:00Z,2813,2813,17,37.37664757484968,18.448212833887116,1,OK
2026-09-21T15:02:00Z,2813,2813,17,37.13575153339375,14.709024730981092,1,OK
2026-09-21T15:03:00Z,2813,2813,17,39.17632918884537,22.21088063638545,1,OK
2026-09-21T15:04:00Z,2813,2813,17,39.17632918884537,22.2657507149052,1,OK
2026-09-21T15:05:00Z,2813,2813,17,39.17632918884537,22.283290527752055,1,OK
2026-09-21T15:06:00Z,2811,2811,17,39.17561795125652,22.418658808369077,1,OK
2026-09-21T15:07:00Z,2814,2814,17,38.59250960366198,18.15730226690702,1,OK
2026-09-21T15:08:00Z,2812,2812,17,36.30632279868633,14.329083732767675,1,OK
2026-09-21T15:09:00Z,2814,2814,17,37.21820733207701,19.86379793602345,1,OK
2026-09-21T15:10:00Z,2812,2812,17,39.17597363328331,21.663224800793635,1,OK
2026-09-21T15:11:00Z,2815,2815,17,39.17703992093482,21.837370080690945,1,OK
2026-09-21T15:12:00Z,2812,2812,17,39.17597363328331,21.777786842368965,1,OK
2026-09-21T15:13:00Z,2793,2793,17,36.418304581426426,14.762815421132359,1,OK
2026-09-21T15:14:00Z,2788,2788,17,37.367644994177745,20.066319705993152,1,OK
2026-09-21T15:15:00Z,2795,2795,17,36.30006473185968,13.515199950423206,1,OK
2026-09-21T15:16:00Z,2806,2806,17,36.4230250381747,11.344189366073481,1,OK
2026-09-21T15:17:00Z,2815,2815,17,37.17330268721372,16.01790557336639,1,OK
2026-09-21T15:18:00Z,2814,2814,17,38.59250960366198,14.857826211597214,1,OK
2026-09-21T15:19:00Z,2813,2813,17,36.23081385121185,14.354323829756462,1,OK
2026-09-21T15:20:00Z,2812,2812,17,36.23044157570677,14.568737242856194,1,OK
2026-09-21T15:21:00Z,2806,2806,17,39.1738376409985,21.972240588460647,1,OK
2026-09-21T15:22:00Z,2812,2812,17,39.17597363328331,22.46055191200802,1,OK
2026-09-21T15:23:00Z,2813,2813,17,39.17632918884537,17.51082938237182,1,OK
2026-09-21T15:24:00Z,2814,2814,17,39.17668461803261,22.54055575618193,1,OK
2026-09-21T15:25:00Z,2813,2813,17,37.37664757484968,17.010720536331633,1,OK
2026-09-21T15:26:00Z,2804,2804,17,36.422300261451255,14.894727899707418,1,OK
