cycle,session_index,session_id,start_utc,end_utc,start_epoch,end_epoch,offered_packets,sent_packets,failed_packets,returncode,accounting_ok,tcpreplay_duration_s,suricata_alerts,rf_reference_positive,provenance_tier,source_timestamp_correlated,min_alert_rf_delta_s,incident_key
3,5,E1_TEST_SCAN_03,2026-09-21T10:50:09.856908Z,2026-09-21T10:50:11.503901Z,1789987809.856908,1789987811.503901,1760,1760,0,0,1,1.55,0,861,RF_ONLY_REVIEW,0,,E7:003:E1_TEST_SCAN_03
3,6,E1_TEST_BRUTE_01,2026-09-21T10:50:12.007501Z,2026-09-21T10:50:23.277877Z,1789987812.007501,1789987823.277877,207,207,0,0,1,11.2,0,6,RF_ONLY_REVIEW,0,,E7:003:E1_TEST_BRUTE_01
3,7,E1_TEST_BRUTE_02,2026-09-21T10:50:23.779150Z,2026-09-21T10:50:34.927844Z,1789987823.779150,1789987834.927844,216,216,0,0,1,11.06,0,6,RF_ONLY_REVIEW,0,,E7:003:E1_TEST_BRUTE_02
3,8,E1_TEST_BRUTE_03,2026-09-21T10:50:35.429154Z,2026-09-21T10:50:46.606888Z,1789987835.429154,1789987846.606888,214,214,0,0,1,11.1,0,6,RF_ONLY_REVIEW,0,,E7:003:E1_TEST_BRUTE_03
3,9,E1_TEST_DOS_01,2026-09-21T10:50:47.108975Z,2026-09-21T10:51:24.323814Z,1789987847.108975,1789987884.323814,2659023,2659023,0,0,1,37.15,8640,65537,HYBRID_CORRELATED,1,25.481625,E7:003:E1_TEST_DOS_01
3,10,E1_TEST_DOS_02,2026-09-21T10:51:30.573747Z,2026-09-21T10:52:07.725031Z,1789987890.573747,1789987927.725031,2648088,2648088,0,0,1,37.07,60710,65537,HYBRID_CORRELATED,1,0.0,E7:003:E1_TEST_DOS_02
3,11,E1_TEST_DOS_03,2026-09-21T10:52:25.298862Z,2026-09-21T10:53:02.146948Z,1789987945.298862,1789987982.146948,2600786,2600786,0,0,1,36.75,95962,65537,HYBRID_CORRELATED,1,0.0,E7:003:E1_TEST_DOS_03
3,12,E1_TEST_EXPLOIT_01,2026-09-21T10:53:27.148253Z,2026-09-21T10:53:41.262072Z,1789988007.148253,1789988021.262072,23669,23666,3,0,1,14.02,0,2318,RF_ONLY_REVIEW,0,,E7:003:E1_TEST_EXPLOIT_01
3,13,E1_TEST_EXPLOIT_02,2026-09-21T10:53:41.842518Z,2026-09-21T10:53:51.389129Z,1789988021.842518,1789988031.389129,20747,20747,0,0,1,9.46,0,2072,RF_ONLY_REVIEW,0,,E7:003:E1_TEST_EXPLOIT_02
3,14,E1_TEST_EXPLOIT_03,2026-09-21T10:53:51.959065Z,2026-09-21T11:06:05.739080Z,1789988031.959065,1789988765.739080,71525,71523,2,0,1,733.71,0,21,RF_ONLY_REVIEW,0,,E7:003:E1_TEST_EXPLOIT_03
4,0,E1_TEST_NORMAL_01,2026-09-21T11:06:06.691852Z,2026-09-21T11:06:36.402919Z,1789988766.691852,1789988796.402919,333,333,0,0,1,29.62,0,31,RF_ONLY_REVIEW,0,,E7:004:E1_TEST_NORMAL_01
4,1,E1_TEST_NORMAL_02,2026-09-21T11:06:36.904713Z,2026-09-21T11:07:06.669969Z,1789988796.904713,1789988826.669969,333,333,0,0,1,29.68,0,31,RF_ONLY_REVIEW,0,,E7:004:E1_TEST_NORMAL_02
4,2,E1_TEST_NORMAL_03,2026-09-21T11:07:07.171776Z,2026-09-21T11:07:37.176023Z,1789988827.171776,1789988857.176023,336,336,0,0,1,29.93,0,31,RF_ONLY_REVIEW,0,,E7:004:E1_TEST_NORMAL_03
4,3,E1_TEST_SCAN_01,2026-09-21T11:07:37.677877Z,2026-09-21T11:07:38.381978Z,1789988857.677877,1789988858.381978,1729,1729,0,0,1,0.624659,0,845,RF_ONLY_REVIEW,0,,E7:004:E1_TEST_SCAN_01
4,4,E1_TEST_SCAN_02,2026-09-21T11:07:38.887005Z,2026-09-21T11:07:39.532125Z,1789988858.887005,1789988859.532125,1715,1715,0,0,1,0.558729,0,837,RF_ONLY_REVIEW,0,,E7:004:E1_TEST_SCAN_02
4,5,E1_TEST_SCAN_03,2026-09-21T11:07:40.035372Z,2026-09-21T11:07:41.668373Z,1789988860.035372,1789988861.668373,1760,1760,0,0,1,1.55,0,861,RF_ONLY_REVIEW,0,,E7:004:E1_TEST_SCAN_03
4,6,E1_TEST_BRUTE_01,2026-09-21T11:07:42.171792Z,2026-09-21T11:07:53.454067Z,1789988862.171792,1789988873.454067,207,207,0,0,1,11.2,0,6,RF_ONLY_REVIEW,0,,E7:004:E1_TEST_BRUTE_01
4,7,E1_TEST_BRUTE_02,2026-09-21T11:07:53.955278Z,2026-09-21T11:08:05.096005Z,1789988873.955278,1789988885.096005,216,216,0,0,1,11.06,0,6,RF_ONLY_REVIEW,0,,E7:004:E1_TEST_BRUTE_02
4,8,E1_TEST_BRUTE_03,2026-09-21T11:08:05.597317Z,2026-09-21T11:08:16.757915Z,1789988885.597317,1789988896.757915,214,214,0,0,1,11.1,0,6,RF_ONLY_REVIEW,0,,E7:004:E1_TEST_BRUTE_03
4,9,E1_TEST_DOS_01,2026-09-21T11:08:17.260082Z,2026-09-21T11:08:54.292479Z,1789988897.260082,1789988934.292479,2659023,2659023,0,0,1,36.96,8640,65537,HYBRID_CORRELATED,1,25.33258,E7:004:E1_TEST_DOS_01
4,10,E1_TEST_DOS_02,2026-09-21T11:09:00.632880Z,2026-09-21T11:09:37.597203Z,1789988940.632880,1789988977.597203,2648088,2648088,0,0,1,36.87,60730,65537,HYBRID_CORRELATED,1,1e-06,E7:004:E1_TEST_DOS_02
4,11,E1_TEST_DOS_03,2026-09-21T11:09:55.215345Z,2026-09-21T11:10:32.100756Z,1789988995.215345,1789989032.100756,2600786,2600786,0,0,1,36.77,95904,65537,HYBRID_CORRELATED,1,0.0,E7:004:E1_TEST_DOS_03
4,12,E1_TEST_EXPLOIT_01,2026-09-21T11:10:57.138918Z,2026-09-21T11:11:11.249129Z,1789989057.138918,1789989071.249129,23669,23666,3,0,1,14.02,0,2318,RF_ONLY_REVIEW,0,,E7:004:E1_TEST_EXPLOIT_01
4,13,E1_TEST_EXPLOIT_02,2026-09-21T11:11:11.834570Z,2026-09-21T11:11:21.384026Z,1789989071.834570,1789989081.384026,20747,20747,0,0,1,9.46,0,2072,RF_ONLY_REVIEW,0,,E7:004:E1_TEST_EXPLOIT_02
4,14,E1_TEST_EXPLOIT_03,2026-09-21T11:11:21.963407Z,2026-09-21T11:23:35.739887Z,1789989081.963407,1789989815.739887,71525,71523,2,0,1,733.71,0,21,RF_ONLY_REVIEW,0,,E7:004:E1_TEST_EXPLOIT_03
5,0,E1_TEST_NORMAL_01,2026-09-21T11:23:36.690782Z,2026-09-21T11:24:06.408882Z,1789989816.690782,1789989846.408882,333,333,0,0,1,29.62,0,31,RF_ONLY_REVIEW,0,,E7:005:E1_TEST_NORMAL_01
5,1,E1_TEST_NORMAL_02,2026-09-21T11:24:06.910836Z,2026-09-21T11:24:36.672869Z,1789989846.910836,1789989876.672869,333,333,0,0,1,29.68,0,31,RF_ONLY_REVIEW,0,,E7:005:E1_TEST_NORMAL_02
5,2,E1_TEST_NORMAL_03,2026-09-21T11:24:37.175987Z,2026-09-21T11:25:07.157945Z,1789989877.175987,1789989907.157945,336,336,0,0,1,29.93,0,31,RF_ONLY_REVIEW,0,,E7:005:E1_TEST_NORMAL_03
5,3,E1_TEST_SCAN_01,2026-09-21T11:25:07.659874Z,2026-09-21T11:25:08.356923Z,1789989907.659874,1789989908.356923,1729,1729,0,0,1,0.624702,0,845,RF_ONLY_REVIEW,0,,E7:005:E1_TEST_SCAN_01
5,4,E1_TEST_SCAN_02,2026-09-21T11:25:08.860673Z,2026-09-21T11:25:09.502907Z,1789989908.860673,1789989909.502907,1715,1715,0,0,1,0.558204,0,837,RF_ONLY_REVIEW,0,,E7:005:E1_TEST_SCAN_02
5,5,E1_TEST_SCAN_03,2026-09-21T11:25:10.006226Z,2026-09-21T11:25:11.653875Z,1789989910.006226,1789989911.653875,1760,1760,0,0,1,1.55,0,861,RF_ONLY_REVIEW,0,,E7:005:E1_TEST_SCAN_03
5,6,E1_TEST_BRUTE_01,2026-09-21T11:25:12.157311Z,2026-09-21T11:25:23.461898Z,1789989912.157311,1789989923.461898,207,207,0,0,1,11.2,0,6,RF_ONLY_REVIEW,0,,E7:005:E1_TEST_BRUTE_01
