run_id,rate,source_ref_per_pcap,phase_a_emitted,phase_a_completeness,phase_b_merged,boundary_delta,phase_b_completeness
E6_PP_128.0x_M02,PP_128.0x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_128.0x_M03,PP_128.0x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_96.0x_M01,PP_96.0x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_96.0x_M02,PP_96.0x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_96.0x_M03,PP_96.0x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_112.0x_M01,PP_112.0x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_112.0x_M02,PP_112.0x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_112.0x_M03,PP_112.0x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_104.0x_M01,PP_104.0x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_104.0x_M02,PP_104.0x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_104.0x_M03,PP_104.0x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_100.0x_M01,PP_100.0x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_100.0x_M02,PP_100.0x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_100.0x_M03,PP_100.0x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_98.0x_M01,PP_98.0x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_98.0x_M02,PP_98.0x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_98.0x_M03,PP_98.0x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_99.0x_M01,PP_99.0x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_99.0x_M02,PP_99.0x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_99.0x_M03,PP_99.0x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_98.5x_M01,PP_98.5x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_98.5x_M02,PP_98.5x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_98.5x_M03,PP_98.5x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_98.75x_M01,PP_98.75x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_98.75x_M02,PP_98.75x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_98.75x_M03,PP_98.75x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_98.88x_M01,PP_98.88x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_98.88x_M02,PP_98.88x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_98.88x_M03,PP_98.88x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_98.88x_FINAL_M01,PP_98.88x_FINAL,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_98.88x_FINAL_M02,PP_98.88x_FINAL,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_98.88x_FINAL_M03,PP_98.88x_FINAL,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_98.88x_FINAL_M04,PP_98.88x_FINAL,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_98.88x_FINAL_M05,PP_98.88x_FINAL,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
