rate,stage,metric,n_runs,source,point_ms,ci_lo_ms,ci_hi_ms
1.0x,detector_total,P95,5,phase_b_offline,21.395,21.386,21.404
1.0x,detector_total,P99,5,phase_b_offline,21.576,21.558,21.588
1.0x,pa_feature_extraction,P50,5,phase_a_live,0.033,0.033,0.033
1.0x,pa_feature_extraction,P95,5,phase_a_live,0.048,0.047,0.048
1.0x,pa_feature_extraction,P99,5,phase_a_live,0.057,0.056,0.057
1.0x,pa_rf_predict,P50,5,phase_a_live,21.524,21.522,21.525
1.0x,pa_rf_predict,P95,5,phase_a_live,24.408,23.907,25.368
1.0x,pa_rf_predict,P99,5,phase_a_live,32.837,32.62,33.088
1.0x,ds_feature_extraction,P50,5,downstream_live,0.039,0.039,0.04
1.0x,ds_feature_extraction,P95,5,downstream_live,0.057,0.056,0.058
1.0x,ds_feature_extraction,P99,5,downstream_live,0.116,0.116,0.122
1.0x,ds_rf_predict,P50,5,downstream_live,21.796,21.701,21.879
1.0x,ds_rf_predict,P95,5,downstream_live,32.344,32.001,33.002
1.0x,ds_rf_predict,P99,5,downstream_live,34.99,34.019,35.684
1.0x,ds_nids_normalization,P50,5,downstream_live,0.017,0.016,0.018
1.0x,ds_nids_normalization,P95,5,downstream_live,0.024,0.022,0.026
1.0x,ds_nids_normalization,P99,5,downstream_live,0.028,0.026,0.029
1.0x,ds_es_indexing,P50,5,downstream_live,3.976,3.774,4.376
1.0x,ds_es_indexing,P95,5,downstream_live,52.461,49.672,53.219
1.0x,ds_es_indexing,P99,5,downstream_live,64.427,64.427,66.697
1.0x,ds_es_confirmed_to_queue,P50,5,downstream_live,1128.606,1061.845,1188.477
1.0x,ds_es_confirmed_to_queue,P95,5,downstream_live,1819.311,1759.451,2011.505
1.0x,ds_es_confirmed_to_queue,P99,5,downstream_live,2092.263,1906.167,2116.691
1.0x,ds_response_normalization,P50,5,downstream_live,0.039,0.039,0.039
1.0x,ds_response_normalization,P95,5,downstream_live,0.063,0.06,0.068
1.0x,ds_response_normalization,P99,5,downstream_live,0.096,0.096,0.107
1.0x,ds_policy_eval,P50,5,downstream_live,0.01,0.009,0.01
1.0x,ds_policy_eval,P95,5,downstream_live,0.016,0.015,0.016
1.0x,ds_policy_eval,P99,5,downstream_live,0.018,0.017,0.02
1.0x,ds_llm_wait,P50,5,downstream_live,9117.374,9059.634,9177.918
1.0x,ds_llm_wait,P95,5,downstream_live,10257.024,10033.573,15637.126
1.0x,ds_llm_wait,P99,5,downstream_live,17435.155,16218.578,17805.605
1.0x,ds_audit_completion,P50,5,downstream_live,17962.99,17906.311,18005.187
1.0x,ds_audit_completion,P95,5,downstream_live,25082.217,24495.651,25272.652
1.0x,ds_audit_completion,P99,5,downstream_live,30867.784,27135.17,31658.528
1.0x,ds_e2e_flow_to_audit,P50,5,downstream_live,143456.438,142082.066,144827.762
1.0x,ds_e2e_flow_to_audit,P95,5,downstream_live,275793.235,275463.966,277815.474
1.0x,ds_e2e_flow_to_audit,P99,5,downstream_live,288974.491,288133.283,290009.013
1.0x,ds_detector_output_to_normalize,P50,5,downstream_live,0.001,0.001,0.001
1.0x,ds_detector_output_to_normalize,P95,5,downstream_live,0.001,0.001,0.001
1.0x,ds_detector_output_to_normalize,P99,5,downstream_live,0.001,0.001,0.001
2.0x,feature_extraction,P50,5,phase_b_offline,0.027,0.026,0.027
2.0x,feature_extraction,P95,5,phase_b_offline,0.042,0.041,0.043
2.0x,feature_extraction,P99,5,phase_b_offline,0.053,0.052,0.054
2.0x,rf_predict,P50,5,phase_b_offline,21.166,21.158,21.172
2.0x,rf_predict,P95,5,phase_b_offline,21.366,21.355,21.374
2.0x,rf_predict,P99,5,phase_b_offline,21.543,21.519,21.563
2.0x,detector_total,P50,5,phase_b_offline,21.195,21.187,21.201
2.0x,detector_total,P95,5,phase_b_offline,21.397,21.386,21.406
2.0x,detector_total,P99,5,phase_b_offline,21.579,21.554,21.599
2.0x,pa_feature_extraction,P50,5,phase_a_live,0.037,0.036,0.038
2.0x,pa_feature_extraction,P95,5,phase_a_live,0.06,0.058,0.061
